data
"1\张三\{""method_amount"": ""现金支付:83.95063441152638"", ""transaction_time"": 1735513941, ""transaction_tail"": 6206}"
"1\张三\{""method_amount"": ""银行卡转账:None"", ""transaction_time"": 1749165141, ""transaction_tail"": 6861}"
"3\王五\{""method_amount"": ""支付宝支付:-128.37264350177998"", ""transaction_time"": 1724281941, ""transaction_tail"": 6267}"
"1\张三\{""method_amount"": ""微信支付:71.98240798331085"", ""transaction_time"": 1742598741, ""transaction_tail"": 4024}"
"1\张三\{""method_amount"": ""银行卡转账:None"", ""transaction_time"": 1721171541, ""transaction_tail"": 5872}"
"4\赵六\{""method_amount"": ""现金支付:-514.3185547492735"", ""transaction_time"": 1742339541, ""transaction_tail"": 5911}"
"4\赵六\{""method_amount"": ""银行卡转账:911.6468430869102"", ""transaction_time"": 1727910741, ""transaction_tail"": 2715}"
"1\张三\{""method_amount"": ""微信支付:None"", ""transaction_time"": 1730416341, ""transaction_tail"": 2139}"
"3\王五\{""method_amount"": ""微信支付:829.3550652743936"", ""transaction_time"": 1749337941, ""transaction_tail"": 8060}"
"4\赵六\{""method_amount"": ""银行卡转账:-345.5208456210843"", ""transaction_time"": 1740611541, ""transaction_tail"": 9589}"
"1\张三\{""method_amount"": ""银行卡转账:None"", ""transaction_time"": 1734304341, ""transaction_tail"": 9688}"
"1\张三\{""method_amount"": ""支付宝支付:-121.22043741626374"", ""transaction_time"": 1723590741, ""transaction_tail"": 5136}"
"4\赵六\{""method_amount"": ""银行卡转账:None"", ""transaction_time"": 1736809941, ""transaction_tail"": 2241}"
"1\张三\{""method_amount"": ""银行卡转账:None"", ""transaction_time"": 1732230741, ""transaction_tail"": 2351}"
"1\张三\{""method_amount"": ""银行卡转账:None"", ""transaction_time"": 1734304341, ""transaction_tail"": 9328}"
"3\王五\{""method_amount"": ""现金支付:-71.79195023975865"", ""transaction_time"": 1725145941, ""transaction_tail"": 2391}"
"3\王五\{""method_amount"": ""支付宝支付:None"", ""transaction_time"": 1722381141, ""transaction_tail"": 3200}"
"2\李四\{""method_amount"": ""微信支付:651.78018437748"", ""transaction_time"": 1734304341, ""transaction_tail"": 7737}"
"3\王五\{""method_amount"": ""支付宝支付:None"", ""transaction_time"": 1728688341, ""transaction_tail"": 7440}"
"4\赵六\{""method_amount"": ""微信支付:875.4997002008072"", ""transaction_time"": 1736291541, ""transaction_tail"": 8739}"
"4\赵六\{""method_amount"": ""银行卡转账:None"", ""transaction_time"": 1737760341, ""transaction_tail"": 1793}"
"4\赵六\{""method_amount"": ""现金支付:None"", ""transaction_time"": 1740957141, ""transaction_tail"": 5747}"
