log_id,user_name,phone,website,access_date,duration_minutes
1,Alice,13800000001,www.pornhub.com,2020/6/24,2375
2,Alice,13800000001,www.taobao.com,2020/1/2,761
3,Alice,13800000001,www.youtube.com,2020/9/22,164
4,Bob,13800000002,www.bing.com,2022/7/31,924
5,Bob,13800000002,www.instagram.com,2020/12/22,415
6,Bob,13800000002,www.education.com,2023/3/20,302
7,Charlie,13800000003,www.amazon.com,2022/1/31,96
8,Charlie,13800000003,www.tiktok.com,2024/2/15,680
9,Charlie,13800000003,www.pornhub.com,2025/6/9,2041
10,Charlie,13800000003,www.xvideos.com,2025/6/8,1036
11,Charlie,13800000003,www.pornhub.com,2022/6/7,803
12,David,13800000004,www.youtube.com,2020/9/24,604
13,David,13800000004,www.instagram.com,2023/3/10,51
14,David,13800000004,www.bing.com,2023/8/21,723
15,Eva,13800000005,www.taobao.com,2023/9/3,214
16,Eva,13800000005,www.google.com,2025/1/22,487
17,Eva,13800000005,www.amazon.com,2020/3/11,165
18,Frank,13800000006,www.youtube.com,2022/3/10,769
19,Frank,13800000006,www.tiktok.com,2020/6/24,744
20,Frank,13800000006,www.xvideos.com,2021/7/20,869
21,Grace,13800000007,www.pornhub.com,2022/8/28,843
22,Grace,13800000007,www.youtube.com,2023/12/6,624
23,Grace,13800000007,www.taobao.com,2022/5/29,365
24,Grace,13800000007,www.facebook.com,2022/11/22,701
25,Hannah,13800000008,www.amazon.com,2020/2/13,228
26,Hannah,13800000008,www.tiktok.com,2025/6/4,395
27,Hannah,13800000008,www.google.com,2023/11/28,327
28,Ian,13800000009,www.youtube.com,2020/1/3,893
29,Ian,13800000009,www.xvideos.com,2023/8/14,935
30,Ian,13800000009,www.bing.com,2021/9/18,778
31,Ian,13800000009,www.taobao.com,2021/12/1,51
32,Julia,13800000010,www.taobao.com,2024/3/20,68
33,Julia,13800000010,www.google.com,2023/5/22,596
34,Julia,13800000010,www.pornhub.com,2025/3/2,23
35,Julia,13800000010,www.facebook.com,2020/3/24,277
36,Kevin,13800000011,www.youtube.com,2020/4/25,430
37,Kevin,13800000011,www.tiktok.com,2020/10/6,742
38,Kevin,13800000011,www.facebook.com,2025/1/6,702
39,Laura,13800000012,www.pornhub.com,2024/10/21,507
40,Laura,13800000012,www.google.com,2024/8/16,119
41,Laura,13800000012,www.amazon.com,2020/10/24,77
42,Michael,13800000013,www.youtube.com,2021/12/26,608
43,Michael,13800000013,www.instagram.com,2020/11/14,406
44,Michael,13800000013,www.xvideos.com,2025/4/7,870
45,Nina,13800000014,www.taobao.com,2024/6/15,597
46,Nina,13800000014,www.google.com,2024/9/15,880
47,Nina,13800000014,www.amazon.com,2022/4/13,773
48,Olivia,13800000015,www.youtube.com,2021/5/22,842
49,Olivia,13800000015,www.instagram.com,2024/7/10,495
50,Olivia,13800000015,www.pornhub.com,2025/3/15,151
51,Olivia,13800000015,www.taobao.com,2024/2/22,629
52,Peter,13800000016,www.taobao.com,2022/12/7,99
53,Peter,13800000016,www.google.com,2021/6/15,628
54,Peter,13800000016,www.amazon.com,2023/1/21,567
55,Peter,13800000016,www.facebook.com,2023/1/13,930
56,Quincy,13800000017,www.youtube.com,2021/11/29,212
57,Quincy,13800000017,www.xvideos.com,2025/3/7,120
58,Quincy,13800000017,www.facebook.com,2022/5/16,394
59,Rachel,13800000018,www.taobao.com,2023/7/24,408
60,Rachel,13800000018,www.google.com,2022/1/10,603
61,Rachel,13800000018,www.amazon.com,2023/7/16,845
62,Steven,13800000019,www.youtube.com,2021/6/4,983
63,Steven,13800000019,www.instagram.com,2020/2/13,810
64,Steven,13800000019,www.pornhub.com,2021/6/15,607
65,Tina,13800000020,www.taobao.com,2020/11/27,59
66,Tina,13800000020,www.google.com,2024/1/26,353
67,Tina,13800000020,www.facebook.com,2020/4/7,83
68,Victor,13800000021,www.xvideos.com,2021/7/20,853
69,Victor,13800000021,www.tiktok.com,2022/9/26,745
70,Victor,13800000021,www.google.com,2020/10/26,683
71,Victor,13800000021,www.taobao.com,2022/3/2,235
72,Wendy,13800000022,www.amazon.com,2024/6/4,62
73,Wendy,13800000022,www.instagram.com,2022/5/2,321
74,Wendy,13800000022,www.bing.com,2024/3/21,351
75,Wendy,13800000022,www.google.com,2020/3/27,282
76,Xander,13800000023,www.youtube.com,2021/6/20,967
77,Xander,13800000023,www.tiktok.com,2021/1/26,166
78,Xander,13800000023,www.xvideos.com,2025/5/15,157
79,Yvonne,13800000024,www.google.com,2021/3/2,945
80,Yvonne,13800000024,www.amazon.com,2023/1/8,861
81,Yvonne,13800000024,www.instagram.com,2020/10/7,406
82,Yvonne,13800000024,www.bing.com,2021/5/1,462
83,Zack,13800000025,www.pornhub.com,2021/6/19,455
84,Zack,13800000025,www.xvideos.com,2022/10/6,887
85,Zack,13800000025,www.google.com,2020/5/7,62
86,Zack,13800000025,www.taobao.com,2023/1/28,520
87,Zoe,13800000026,www.amazon.com,2023/10/1,545
88,Zoe,13800000026,www.instagram.com,2023/2/24,785
89,Zoe,13800000026,www.bing.com,2021/7/4,720
90,Zoe,13800000026,www.google.com,2022/12/14,958
91,Zackary,13800000027,www.youtube.com,2024/11/16,778
92,Zackary,13800000027,www.tiktok.com,2020/6/12,571
93,Zackary,13800000027,www.google.com,2023/10/12,778
94,Zackary,13800000027,www.taobao.com,2024/1/2,821
95,Zoe,13800000028,www.amazon.com,2024/5/3,99
96,Zoe,13800000028,www.instagram.com,2020/2/22,786
97,Zoe,13800000028,www.pornhub.com,2024/8/30,821
98,Zoe,13800000028,www.google.com,2021/5/20,802
99,Zackary,13800000029,www.youtube.com,2021/5/26,598
100,Zackary,13800000029,www.tiktok.com,2020/1/9,509
101,Zackary,13800000029,www.xvideos.com,2022/5/11,655
102,Zackary,13800000029,www.taobao.com,2024/10/17,446
103,Zoe,13800000030,www.amazon.com,2020/1/14,774
104,Zoe,13800000030,www.instagram.com,2020/8/30,962
105,Zoe,13800000030,www.pornhub.com,2024/6/9,815
